"Number";"Date";"Relative Pressure (hPa)";"Indoor Temp (°C)";"Indoor Hum (%)";"Outdoor Temp (°C)";"Outdoor Hum (%)";"Dewpoint (°C)";"Wind Chill (°C)";"Winds. (m/s)";"Wind Direction";"Gust (m/s)";"Relative Rain (mm)";"Total Rain (mm)"
"0";"20.11.2016 21:40";"1002.2";"17.8";"61";"8.1";"72";"3.4";"---";"---";"---";"---";"0.0";"0.0"
"1";"20.11.2016 21:50";"1002.3";"17.8";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"2";"20.11.2016 22:00";"1002.3";"17.7";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"3";"20.11.2016 22:10";"1002.3";"17.7";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"4";"20.11.2016 22:20";"1002.4";"17.6";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"5";"20.11.2016 22:30";"1002.4";"17.6";"61";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"6";"20.11.2016 22:40";"1002.6";"17.6";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"7";"20.11.2016 22:50";"1002.6";"17.6";"61";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"8";"20.11.2016 23:00";"1002.7";"17.6";"61";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"9";"20.11.2016 23:10";"1002.6";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"10";"20.11.2016 23:20";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"11";"20.11.2016 23:30";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"12";"20.11.2016 23:40";"1002.7";"17.5";"61";"8.3";"73";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"13";"20.11.2016 23:50";"1002.7";"17.4";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"14";"21.11.2016 00:00";"1002.6";"17.4";"61";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"15";"21.11.2016 00:10";"1002.7";"17.4";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"16";"21.11.2016 00:20";"1002.7";"17.4";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"17";"21.11.2016 00:30";"1002.6";"17.4";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"18";"21.11.2016 00:40";"1002.6";"17.3";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"19";"21.11.2016 00:50";"1002.5";"17.3";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"20";"21.11.2016 01:00";"1002.5";"17.3";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"21";"21.11.2016 01:10";"1002.7";"17.3";"62";"8.2";"73";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"22";"21.11.2016 01:20";"1002.7";"17.2";"62";"8.1";"73";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"23";"21.11.2016 01:30";"1002.7";"17.2";"62";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"24";"21.11.2016 01:40";"1002.7";"17.2";"62";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"25";"21.11.2016 01:50";"1002.7";"17.2";"62";"8.0";"73";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"26";"21.11.2016 02:00";"1002.7";"17.2";"62";"7.9";"73";"3.4";"---";"---";"---";"---";"0.0";"0.0"
"27";"21.11.2016 02:10";"1002.8";"17.1";"62";"7.8";"73";"3.3";"---";"---";"---";"---";"0.0";"0.0"
"28";"21.11.2016 02:20";"1002.8";"17.1";"62";"7.6";"73";"3.1";"---";"---";"---";"---";"0.0";"0.0"
"29";"21.11.2016 02:30";"1002.9";"17.0";"62";"7.5";"73";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"30";"21.11.2016 02:40";"1002.8";"17.0";"62";"7.3";"73";"2.8";"---";"---";"---";"---";"0.0";"0.0"
"31";"21.11.2016 02:50";"1002.8";"17.0";"62";"7.2";"73";"2.7";"---";"---";"---";"---";"0.0";"0.0"
"32";"21.11.2016 03:00";"1002.8";"17.0";"62";"7.1";"73";"2.6";"---";"---";"---";"---";"0.0";"0.0"
"33";"21.11.2016 03:10";"1002.8";"16.9";"62";"6.9";"73";"2.4";"---";"---";"---";"---";"0.0";"0.0"
"34";"21.11.2016 03:20";"1002.8";"16.9";"62";"6.8";"74";"2.5";"---";"---";"---";"---";"0.0";"0.0"
"35";"21.11.2016 03:30";"1002.8";"16.8";"62";"6.8";"74";"2.5";"---";"---";"---";"---";"0.0";"0.0"
"36";"21.11.2016 03:40";"1002.9";"16.8";"62";"6.7";"74";"2.4";"---";"---";"---";"---";"0.0";"0.0"
"37";"21.11.2016 03:50";"1002.9";"16.8";"62";"6.7";"74";"2.4";"---";"---";"---";"---";"0.0";"0.0"
"38";"21.11.2016 04:00";"1002.9";"16.8";"62";"6.7";"74";"2.4";"---";"---";"---";"---";"0.0";"0.0"
"39";"21.11.2016 04:10";"1002.9";"16.8";"62";"6.6";"74";"2.3";"---";"---";"---";"---";"0.0";"0.0"
"40";"21.11.2016 04:20";"1002.8";"16.7";"62";"6.5";"73";"2.0";"---";"---";"---";"---";"0.0";"0.0"
"41";"21.11.2016 04:30";"1002.7";"16.7";"62";"6.4";"73";"1.9";"---";"---";"---";"---";"0.0";"0.0"
"42";"21.11.2016 04:40";"1002.8";"16.6";"62";"6.3";"73";"1.8";"---";"---";"---";"---";"0.0";"0.0"
"43";"21.11.2016 04:50";"1002.9";"16.6";"62";"6.1";"73";"1.6";"---";"---";"---";"---";"0.0";"0.0"
"44";"21.11.2016 05:00";"1002.9";"16.6";"62";"6.0";"73";"1.5";"---";"---";"---";"---";"0.0";"0.0"
"45";"21.11.2016 05:10";"1003.0";"16.5";"62";"5.9";"74";"1.6";"---";"---";"---";"---";"0.0";"0.0"
"46";"21.11.2016 05:20";"1003.0";"16.5";"62";"5.8";"74";"1.5";"---";"---";"---";"---";"0.0";"0.0"
"47";"21.11.2016 05:30";"1002.9";"16.5";"62";"5.7";"74";"1.4";"---";"---";"---";"---";"0.0";"0.0"
"48";"21.11.2016 05:40";"1003.0";"16.4";"62";"5.6";"74";"1.3";"---";"---";"---";"---";"0.0";"0.0"
"49";"21.11.2016 05:50";"1003.1";"16.4";"62";"5.6";"74";"1.3";"---";"---";"---";"---";"0.0";"0.0"
"50";"21.11.2016 06:00";"1003.2";"16.4";"62";"5.5";"74";"1.2";"---";"---";"---";"---";"0.0";"0.0"
"51";"21.11.2016 06:10";"1003.2";"16.4";"62";"5.4";"74";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"52";"21.11.2016 06:20";"1003.3";"16.3";"62";"5.3";"74";"1.0";"---";"---";"---";"---";"0.0";"0.0"
"53";"21.11.2016 06:30";"1003.3";"16.3";"62";"5.2";"74";"1.0";"---";"---";"---";"---";"0.0";"0.0"
"54";"21.11.2016 06:40";"1003.5";"16.3";"62";"5.2";"74";"1.0";"---";"---";"---";"---";"0.0";"0.0"
"55";"21.11.2016 06:50";"1003.4";"16.2";"62";"5.1";"74";"0.9";"---";"---";"---";"---";"0.0";"0.0"
"56";"21.11.2016 07:00";"1003.5";"16.2";"62";"5.0";"75";"0.9";"---";"---";"---";"---";"0.0";"0.0"
"57";"21.11.2016 07:10";"1003.6";"16.2";"62";"4.9";"75";"0.8";"---";"---";"---";"---";"0.0";"0.0"
"58";"21.11.2016 07:20";"1003.7";"16.2";"62";"4.9";"75";"0.8";"---";"---";"---";"---";"0.0";"0.0"
"59";"21.11.2016 07:30";"1003.7";"16.2";"62";"4.9";"75";"0.8";"---";"---";"---";"---";"0.0";"0.0"
"60";"21.11.2016 07:40";"1003.8";"16.3";"62";"5.0";"75";"0.9";"---";"---";"---";"---";"0.0";"0.0"
"61";"21.11.2016 07:50";"1003.9";"16.4";"62";"5.1";"75";"1.0";"---";"---";"---";"---";"0.0";"0.0"
"62";"21.11.2016 08:00";"1003.9";"16.4";"62";"5.2";"75";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"63";"21.11.2016 08:10";"1004.0";"16.6";"62";"5.3";"75";"1.2";"---";"---";"---";"---";"0.0";"0.0"
"64";"21.11.2016 08:20";"1004.2";"16.7";"62";"5.6";"75";"1.5";"---";"---";"---";"---";"0.0";"0.0"
"65";"21.11.2016 08:30";"1004.3";"16.8";"62";"6.2";"74";"1.9";"---";"---";"---";"---";"0.0";"0.0"
"66";"21.11.2016 08:40";"1004.3";"17.0";"61";"6.8";"74";"2.5";"---";"---";"---";"---";"0.0";"0.0"
"67";"21.11.2016 08:50";"1004.3";"17.2";"61";"7.2";"74";"2.9";"---";"---";"---";"---";"0.0";"0.0"
"68";"21.11.2016 09:00";"1004.3";"17.4";"60";"7.5";"73";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"69";"21.11.2016 09:10";"1004.3";"17.6";"60";"7.5";"73";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"70";"21.11.2016 09:20";"1004.3";"17.7";"59";"7.5";"73";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"71";"21.11.2016 09:30";"1004.4";"17.9";"59";"7.9";"72";"3.2";"---";"---";"---";"---";"0.0";"0.0"
"72";"21.11.2016 09:40";"1004.5";"18.1";"59";"8.2";"72";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"73";"21.11.2016 09:50";"1004.5";"18.3";"58";"8.5";"72";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"74";"21.11.2016 10:00";"1004.3";"18.5";"58";"8.8";"71";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"75";"21.11.2016 10:10";"1004.4";"18.7";"57";"8.9";"71";"3.9";"---";"---";"---";"---";"0.0";"0.0"
"76";"21.11.2016 10:20";"1004.4";"18.8";"57";"9.3";"71";"4.3";"---";"---";"---";"---";"0.0";"0.0"
"77";"21.11.2016 10:30";"1004.4";"19.0";"56";"10.0";"70";"4.8";"---";"---";"---";"---";"0.0";"0.0"
"78";"21.11.2016 10:40";"1004.3";"19.2";"56";"10.6";"69";"5.2";"---";"---";"---";"---";"0.0";"0.0"
"79";"21.11.2016 10:50";"1004.1";"19.4";"55";"11.2";"69";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"80";"21.11.2016 11:00";"1004.1";"19.6";"55";"12.0";"69";"6.5";"---";"---";"---";"---";"0.0";"0.0"
"81";"21.11.2016 11:10";"1004.1";"19.7";"55";"12.5";"68";"6.8";"---";"---";"---";"---";"0.0";"0.0"
"82";"21.11.2016 11:20";"1004.1";"19.8";"55";"12.9";"67";"6.9";"---";"---";"---";"---";"0.0";"0.0"
"83";"21.11.2016 11:30";"1004.0";"19.9";"55";"13.0";"66";"6.8";"---";"---";"---";"---";"0.0";"0.0"
"84";"21.11.2016 11:40";"1004.0";"20.0";"55";"12.4";"67";"6.5";"---";"---";"---";"---";"0.0";"0.0"
"85";"21.11.2016 11:50";"1003.9";"20.1";"55";"11.8";"67";"5.9";"---";"---";"---";"---";"0.0";"0.0"
"86";"21.11.2016 12:00";"1003.8";"20.2";"55";"11.4";"68";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"87";"21.11.2016 12:10";"1003.7";"20.3";"54";"11.2";"68";"5.5";"---";"---";"---";"---";"0.0";"0.0"
"88";"21.11.2016 12:20";"1003.6";"20.3";"54";"11.1";"68";"5.4";"---";"---";"---";"---";"0.0";"0.0"
"89";"21.11.2016 12:30";"1003.5";"20.4";"54";"11.0";"68";"5.3";"---";"---";"---";"---";"0.0";"0.0"
"90";"21.11.2016 12:40";"1003.5";"20.4";"54";"11.0";"68";"5.3";"---";"---";"---";"---";"0.0";"0.0"
"91";"21.11.2016 12:50";"1003.5";"20.4";"54";"11.2";"68";"5.5";"---";"---";"---";"---";"0.0";"0.0"
"92";"21.11.2016 13:00";"1003.5";"20.4";"54";"11.3";"68";"5.6";"---";"---";"---";"---";"0.0";"0.0"
"93";"21.11.2016 13:10";"1003.3";"20.4";"54";"11.4";"68";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"94";"21.11.2016 13:20";"1003.3";"20.3";"54";"11.4";"68";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"95";"21.11.2016 13:30";"1003.3";"20.3";"54";"11.5";"68";"5.8";"---";"---";"---";"---";"0.0";"0.0"
"96";"21.11.2016 13:40";"1003.2";"20.2";"54";"11.6";"68";"5.9";"---";"---";"---";"---";"0.0";"0.0"
"97";"21.11.2016 13:50";"1003.0";"20.1";"55";"11.6";"68";"5.9";"---";"---";"---";"---";"0.0";"0.0"
"98";"21.11.2016 14:00";"1003.1";"20.1";"55";"11.6";"67";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"99";"21.11.2016 14:10";"1003.0";"20.0";"55";"11.6";"67";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"100";"21.11.2016 14:20";"1002.9";"19.9";"55";"11.7";"67";"5.8";"---";"---";"---";"---";"0.0";"0.0"
"101";"21.11.2016 14:30";"1003.0";"19.8";"55";"11.7";"67";"5.8";"---";"---";"---";"---";"0.0";"0.0"
"102";"21.11.2016 14:40";"1003.0";"19.8";"55";"11.8";"67";"5.9";"---";"---";"---";"---";"0.0";"0.0"
"103";"21.11.2016 14:50";"1002.9";"19.7";"55";"11.7";"67";"5.8";"---";"---";"---";"---";"0.0";"0.0"
"104";"21.11.2016 15:00";"1002.9";"19.6";"55";"11.7";"67";"5.8";"---";"---";"---";"---";"0.0";"0.0"
"105";"21.11.2016 15:10";"1002.9";"19.5";"55";"11.6";"67";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"106";"21.11.2016 15:20";"1003.0";"19.4";"56";"11.6";"67";"5.7";"---";"---";"---";"---";"0.0";"0.0"
"107";"21.11.2016 15:30";"1002.9";"19.2";"56";"11.4";"67";"5.5";"---";"---";"---";"---";"0.0";"0.0"
"108";"21.11.2016 15:40";"1002.9";"19.1";"56";"11.3";"68";"5.6";"---";"---";"---";"---";"0.0";"0.0"
"109";"21.11.2016 15:50";"1002.9";"18.9";"56";"11.2";"68";"5.5";"---";"---";"---";"---";"0.0";"0.0"
"110";"21.11.2016 16:00";"1002.9";"18.8";"56";"11.0";"68";"5.3";"---";"---";"---";"---";"0.0";"0.0"
"111";"21.11.2016 16:10";"1003.0";"18.7";"56";"10.9";"68";"5.2";"---";"---";"---";"---";"0.0";"0.0"
"112";"21.11.2016 16:20";"1002.9";"18.5";"57";"10.7";"68";"5.0";"---";"---";"---";"---";"0.0";"0.0"
"113";"21.11.2016 16:30";"1002.9";"18.3";"57";"10.6";"68";"5.0";"---";"---";"---";"---";"0.0";"0.0"
"114";"21.11.2016 16:40";"1003.0";"18.2";"57";"10.4";"68";"4.8";"---";"---";"---";"---";"0.0";"0.0"
"115";"21.11.2016 16:50";"1003.1";"18.0";"57";"10.3";"68";"4.7";"---";"---";"---";"---";"0.0";"0.0"
"116";"21.11.2016 17:00";"1003.1";"17.9";"57";"10.1";"68";"4.5";"---";"---";"---";"---";"0.0";"0.0"
"117";"21.11.2016 17:10";"1003.3";"17.8";"57";"10.0";"68";"4.4";"---";"---";"---";"---";"0.0";"0.0"
"118";"21.11.2016 17:20";"1003.1";"17.7";"57";"9.8";"68";"4.2";"---";"---";"---";"---";"0.0";"0.0"
"119";"21.11.2016 17:30";"1003.3";"17.6";"58";"9.6";"68";"4.0";"---";"---";"---";"---";"0.0";"0.0"
"120";"21.11.2016 17:40";"1003.1";"17.7";"58";"9.5";"69";"4.1";"---";"---";"---";"---";"0.0";"0.0"
"121";"21.11.2016 17:50";"1003.2";"18.4";"58";"9.4";"69";"4.0";"---";"---";"---";"---";"0.0";"0.0"
"122";"21.11.2016 18:00";"1003.3";"18.9";"56";"9.3";"69";"3.9";"---";"---";"---";"---";"0.0";"0.0"
"123";"21.11.2016 18:10";"1003.3";"18.9";"56";"9.2";"69";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"124";"21.11.2016 18:20";"1003.3";"18.7";"57";"9.1";"69";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"125";"21.11.2016 18:30";"1003.3";"18.4";"57";"9.0";"70";"3.8";"---";"---";"---";"---";"0.0";"0.0"
"126";"21.11.2016 18:40";"1003.4";"18.3";"57";"8.9";"70";"3.7";"---";"---";"---";"---";"0.0";"0.0"
"127";"21.11.2016 18:50";"1003.6";"18.1";"58";"8.8";"70";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"128";"21.11.2016 19:00";"1003.5";"18.0";"58";"8.8";"70";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"129";"21.11.2016 19:10";"1003.5";"17.8";"58";"8.7";"70";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"130";"21.11.2016 19:20";"1003.5";"17.7";"58";"8.6";"70";"3.4";"---";"---";"---";"---";"0.0";"0.0"
"131";"21.11.2016 19:30";"1003.5";"17.6";"58";"8.5";"71";"3.6";"---";"---";"---";"---";"0.0";"0.0"
"132";"21.11.2016 19:40";"1003.4";"17.5";"58";"8.4";"71";"3.5";"---";"---";"---";"---";"0.0";"0.0"
"133";"21.11.2016 19:50";"1003.4";"17.4";"58";"8.3";"71";"3.4";"---";"---";"---";"---";"0.0";"0.0"
"134";"21.11.2016 20:00";"1003.2";"17.4";"59";"8.2";"71";"3.3";"---";"---";"---";"---";"0.0";"0.0"
"135";"21.11.2016 20:10";"1003.3";"17.3";"59";"8.0";"71";"3.1";"---";"---";"---";"---";"0.0";"0.0"
"136";"21.11.2016 20:20";"1003.3";"17.2";"59";"8.0";"71";"3.1";"---";"---";"---";"---";"0.0";"0.0"
"137";"21.11.2016 20:30";"1003.4";"17.2";"59";"7.9";"71";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"138";"21.11.2016 20:40";"1003.4";"17.2";"59";"7.9";"71";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"139";"21.11.2016 20:50";"1003.6";"17.2";"59";"7.9";"71";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"140";"21.11.2016 21:00";"1003.5";"17.1";"59";"7.9";"72";"3.2";"---";"---";"---";"---";"0.0";"0.0"
"141";"21.11.2016 21:10";"1003.5";"17.1";"60";"7.9";"71";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"142";"21.11.2016 21:20";"1003.5";"17.1";"60";"7.9";"71";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"143";"21.11.2016 21:30";"1003.5";"17.1";"60";"7.8";"72";"3.1";"---";"---";"---";"---";"0.0";"0.0"
"144";"21.11.2016 21:40";"1003.6";"17.1";"61";"7.7";"72";"3.0";"---";"---";"---";"---";"0.0";"0.0"
"145";"21.11.2016 21:50";"1003.4";"17.2";"61";"7.6";"72";"2.9";"---";"---";"---";"---";"0.0";"0.0"
"146";"21.11.2016 22:00";"1003.4";"17.2";"62";"7.5";"72";"2.8";"---";"---";"---";"---";"0.0";"0.0"
"147";"21.11.2016 22:10";"1003.4";"17.1";"62";"7.4";"72";"2.7";"---";"---";"---";"---";"0.0";"0.0"
"148";"21.11.2016 22:20";"1003.4";"17.1";"62";"7.2";"72";"2.5";"---";"---";"---";"---";"0.0";"0.0"
"149";"21.11.2016 22:30";"1003.4";"17.0";"62";"7.1";"72";"2.4";"---";"---";"---";"---";"0.0";"0.0"
"150";"21.11.2016 22:40";"1003.5";"17.0";"62";"7.0";"72";"2.3";"---";"---";"---";"---";"0.0";"0.0"
"151";"21.11.2016 22:50";"1003.6";"16.9";"62";"6.8";"72";"2.1";"---";"---";"---";"---";"0.0";"0.0"
"152";"21.11.2016 23:00";"1003.5";"16.8";"62";"6.8";"72";"2.1";"---";"---";"---";"---";"0.0";"0.0"
"153";"21.11.2016 23:10";"1003.6";"16.8";"62";"6.6";"72";"1.9";"---";"---";"---";"---";"0.0";"0.0"
"154";"21.11.2016 23:20";"1003.6";"16.8";"62";"6.5";"71";"1.6";"---";"---";"---";"---";"0.0";"0.0"
"155";"21.11.2016 23:30";"1003.7";"16.7";"62";"6.4";"72";"1.7";"---";"---";"---";"---";"0.0";"0.0"
"156";"21.11.2016 23:40";"1003.6";"16.7";"62";"6.3";"72";"1.6";"---";"---";"---";"---";"0.0";"0.0"
"157";"21.11.2016 23:50";"1003.6";"16.6";"62";"6.2";"72";"1.5";"---";"---";"---";"---";"0.0";"0.0"
"158";"22.11.2016 00:00";"1003.6";"16.6";"62";"6.0";"72";"1.3";"---";"---";"---";"---";"0.0";"0.0"
"159";"22.11.2016 00:10";"1003.6";"16.6";"62";"6.0";"72";"1.3";"---";"---";"---";"---";"0.0";"0.0"
"160";"22.11.2016 00:20";"1003.7";"16.5";"62";"5.9";"72";"1.2";"---";"---";"---";"---";"0.0";"0.0"
"161";"22.11.2016 00:30";"1003.6";"16.5";"63";"5.8";"72";"1.2";"---";"---";"---";"---";"0.0";"0.0"
"162";"22.11.2016 00:40";"1003.6";"16.4";"63";"5.7";"72";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"163";"22.11.2016 00:50";"1003.7";"16.4";"63";"5.6";"73";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"164";"22.11.2016 01:00";"1003.7";"16.4";"63";"5.5";"73";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"165";"22.11.2016 01:10";"1003.8";"16.4";"63";"5.4";"73";"1.0";"---";"---";"---";"---";"0.0";"0.0"
"166";"22.11.2016 01:20";"1003.8";"16.3";"63";"5.3";"73";"0.9";"---";"---";"---";"---";"0.0";"0.0"
"167";"22.11.2016 01:30";"1003.8";"16.3";"63";"5.2";"73";"0.8";"---";"---";"---";"---";"0.0";"0.0"
"168";"22.11.2016 01:40";"1003.8";"16.3";"63";"5.1";"73";"0.7";"---";"---";"---";"---";"0.0";"0.0"
"169";"22.11.2016 01:50";"1003.7";"16.2";"63";"5.0";"73";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"170";"22.11.2016 02:00";"1003.8";"16.2";"63";"4.9";"74";"0.7";"---";"---";"---";"---";"0.0";"0.0"
"171";"22.11.2016 02:10";"1003.8";"16.2";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"172";"22.11.2016 02:20";"1003.7";"16.1";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"173";"22.11.2016 02:30";"1003.7";"16.1";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"174";"22.11.2016 02:40";"1003.7";"16.1";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"175";"22.11.2016 02:50";"1003.7";"16.1";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"176";"22.11.2016 03:00";"1003.7";"16.0";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"177";"22.11.2016 03:10";"1003.7";"16.0";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"178";"22.11.2016 03:20";"1003.7";"16.0";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"179";"22.11.2016 03:30";"1003.7";"16.0";"63";"4.8";"74";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"180";"22.11.2016 03:40";"1003.7";"16.0";"63";"4.7";"74";"0.5";"---";"---";"---";"---";"0.0";"0.0"
"181";"22.11.2016 03:50";"1003.7";"16.0";"63";"4.6";"74";"0.4";"---";"---";"---";"---";"0.0";"0.0"
"182";"22.11.2016 04:00";"1003.7";"16.0";"63";"4.6";"74";"0.4";"---";"---";"---";"---";"0.0";"0.0"
"183";"22.11.2016 04:10";"1003.8";"15.9";"63";"4.5";"74";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"184";"22.11.2016 04:20";"1004.0";"15.9";"63";"4.5";"74";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"185";"22.11.2016 04:30";"1003.9";"15.8";"63";"4.4";"74";"0.2";"---";"---";"---";"---";"0.0";"0.0"
"186";"22.11.2016 04:40";"1004.0";"15.8";"63";"4.4";"74";"0.2";"---";"---";"---";"---";"0.0";"0.0"
"187";"22.11.2016 04:50";"1004.1";"15.8";"63";"4.3";"75";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"188";"22.11.2016 05:00";"1004.2";"15.8";"63";"4.3";"75";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"189";"22.11.2016 05:10";"1004.1";"15.8";"63";"4.3";"75";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"190";"22.11.2016 05:20";"1004.1";"15.7";"63";"4.2";"75";"0.2";"---";"---";"---";"---";"0.0";"0.0"
"191";"22.11.2016 05:30";"1004.2";"15.7";"63";"4.2";"75";"0.2";"---";"---";"---";"---";"0.0";"0.0"
"192";"22.11.2016 05:40";"1004.3";"15.7";"63";"4.2";"75";"0.2";"---";"---";"---";"---";"0.0";"0.0"
"193";"22.11.2016 05:50";"1004.3";"16.0";"63";"4.1";"75";"0.1";"---";"---";"---";"---";"0.0";"0.0"
"194";"22.11.2016 06:00";"1004.6";"16.8";"62";"4.0";"75";"-0.0";"---";"---";"---";"---";"0.0";"0.0"
"195";"22.11.2016 06:10";"1004.7";"17.3";"61";"4.0";"75";"-0.0";"---";"---";"---";"---";"0.0";"0.0"
"196";"22.11.2016 06:20";"1004.8";"17.6";"60";"3.9";"75";"-0.1";"---";"---";"---";"---";"0.0";"0.0"
"197";"22.11.2016 06:30";"1004.8";"17.7";"59";"3.9";"75";"-0.1";"---";"---";"---";"---";"0.0";"0.0"
"198";"22.11.2016 06:40";"1004.8";"17.6";"60";"3.8";"75";"-0.2";"---";"---";"---";"---";"0.0";"0.0"
"199";"22.11.2016 06:50";"1004.9";"17.3";"60";"3.8";"75";"-0.2";"---";"---";"---";"---";"0.0";"0.0"
"200";"22.11.2016 07:00";"1005.0";"17.2";"60";"3.7";"75";"-0.3";"---";"---";"---";"---";"0.0";"0.0"
"201";"22.11.2016 07:10";"1005.2";"16.9";"61";"3.7";"75";"-0.3";"---";"---";"---";"---";"0.0";"0.0"
"202";"22.11.2016 07:20";"1005.4";"16.7";"61";"3.6";"76";"-0.2";"---";"---";"---";"---";"0.0";"0.0"
"203";"22.11.2016 07:30";"1005.5";"16.6";"62";"3.7";"76";"-0.1";"---";"---";"---";"---";"0.0";"0.0"
"204";"22.11.2016 07:40";"1005.5";"16.6";"62";"3.8";"76";"-0.0";"---";"---";"---";"---";"0.0";"0.0"
"205";"22.11.2016 07:50";"1005.5";"16.6";"62";"3.9";"76";"0.1";"---";"---";"---";"---";"0.0";"0.0"
"206";"22.11.2016 08:00";"1005.6";"16.7";"62";"4.1";"76";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"207";"22.11.2016 08:10";"1005.7";"16.8";"61";"4.3";"75";"0.3";"---";"---";"---";"---";"0.0";"0.0"
"208";"22.11.2016 08:20";"1005.7";"16.9";"61";"4.6";"75";"0.6";"---";"---";"---";"---";"0.0";"0.0"
"209";"22.11.2016 08:30";"1005.8";"17.7";"59";"5.2";"75";"1.1";"---";"---";"---";"---";"0.0";"0.0"
"210";"22.11.2016 08:40";"1006.0";"18.7";"57";"5.7";"74";"1.4";"---";"---";"---";"---";"0.0";"0.0"
"211";"22.11.2016 08:50";"1006.1";"19.0";"56";"6.1";"74";"1.8";"---";"---";"---";"---";"0.0";"0.0"
